cnae,p49100_h1,p40800_h1,p40100_mas_40500_h1,p31200_h1,p32300_h1,p10000_h1,p20000_h1,target_status
4671,194337.41199999998,-102350.63100000001,4055247.775,701.249,62622.188,1741376.654,762629.682,0
3516,-65713.0,-407634.0,3633898.0,131326.0,270347.0,10913447.0,2549449.0,0
4671,-67510.0,-37068.0,2723156.0,39313.0,6531.0,1087997.0,243599.0,0
5110,238000.0,-204000.0,4238000.0,768000.0,131000.0,5533000.0,1322000.0,0
6512,0.0,0.0,4344467.0,0.0,0.0,7640674.0,2356366.0,0
4671,167803.0,-71793.0,3778304.0,29703.0,37687.0,1364156.0,750868.0,0
4711,242506.0,-119567.0,4816288.0,1048106.0,83219.0,2666661.0,300553.0,0
4211,132653.0,-70308.0,4446113.0,575261.0,648961.0,5044394.0,770653.0,0
6419,0.0,0.0,4027639.0,0.0,0.0,166744603.0,12545309.0,0
6920,939408.0,-201869.0,4049830.0,4712071.0,230065.0,10129772.0,3740174.0,0
6311,340200.0,-257399.0,3973100.0,381900.0,242200.0,5637000.0,1459500.0,0
8010,337795.0,-116412.0,3913247.0,1223597.0,398994.0,3555130.0,751500.0,0
6419,0.0,0.0,3905896.0,0.0,0.0,96241501.0,10397287.0,0
6520,0.0,0.0,4234750.0,0.0,0.0,5578901.0,1279408.0,0
6190,-142471.0,-730359.0,4220149.0,365.0,250948.0,8173681.0,6396662.0,0
6520,0.0,0.0,4139350.0,0.0,0.0,5257614.0,1217802.0,0
6420,0.0,0.0,4107323.0,0.0,0.0,13907479.0,2533652.0,0
6120,672166.0,-480570.0,4119786.0,19669.0,269909.0,3794461.0,1211929.0,0
4636,80878.0,-172.0,4449509.0,9352.0,229653.0,1237064.0,417720.0,0
5223,1467814.0,-825805.0,3717342.0,521898.0,109512.0,15513774.0,5025749.0,0
6420,-209952.0,-610211.0,3374068.0,1974897.0,414042.0,9979492.0,5376618.0,0
6420,279326.0,-128144.0,2959757.0,1019287.0,229982.0,4076737.0,1274324.0,0
4636,80539.0,-77.0,4343363.0,9353.0,635014.0,1183229.0,417585.0,0
5223,1448813.0,-778158.0,3516303.0,193545.0,129618.0,14847456.0,5363567.0,0
4511,39339.0,-2357.0,3547720.0,11718.0,258.0,1401531.0,139319.0,0
6420,5093000.0,-38000.0,2761000.0,7249000.0,3712000.0,83260000.0,20277000.0,0
3523,235839.0,-25886.0,3718672.0,3986.0,38.0,1314191.0,228406.0,0
7022,89493.0,-54792.0,3570834.0,128296.0,88925.0,1211012.0,140725.0,0
6419,0.0,0.0,3403861.0,0.0,0.0,190167459.0,12837192.0,0
4121,-49467.0,-61827.0,2104534.0,77327.0,33244.0,3482580.0,354786.0,0
6512,0.0,0.0,3291912.0,0.0,0.0,3365524.0,1049278.0,0
2410,80056.0,-59304.0,2823397.0,6796.0,68314.0,2893445.0,1868452.0,0
2016,503944.0,-39154.0,3099068.0,8700.0,443.0,1560879.0,859542.0,0
4910,31105.0,-361212.0,3077744.0,3705580.0,372855.0,7866269.0,2945875.0,0
6492,182400.0,-56230.0,2767072.0,161213.0,151767.0,2417724.0,1586218.0,0
4299,21939.0,-137420.0,4638803.0,3840207.0,622256.0,12920346.0,4044993.0,0
4711,170415.0,-100320.0,3370940.0,752373.0,139833.0,2203514.0,681261.0,0
6420,0.0,0.0,3669704.0,0.0,0.0,194049568.0,13749869.0,0
4711,97938.0,-64546.0,3242761.0,16703.0,8657.0,1062132.0,137389.0,0
2910,45368.0,-115384.0,3401009.0,114115.0,58976.0,2229236.0,890981.0,0
4110,208081.0,-113073.0,2958349.0,4409802.0,850437.0,10688947.0,2080398.0,0
6419,0.0,0.0,3237941.0,0.0,0.0,191007733.0,12026948.0,0
6512,0.0,0.0,3037082.0,0.0,0.0,11124835.0,1106054.0,0
4646,23284.167999999998,-20877.332000000002,2957619.947,17513.082,17252.565,1386897.6190000002,226219.986,0
4910,103553.0,-290168.0,2738303.0,8115.0,38207.0,6274798.0,2331591.0,0
4646,15381.282000000001,-2945.433,2919488.795,79.912,7106.415,1316535.8190000001,207504.685,0
3030,-270088.0,-100341.0,2780663.0,238180.0,112657.0,4999602.0,193083.0,0
7010,116688.0,-38312.0,2365881.0,113003.0,98981.0,1725126.0,1095496.0,0
6419,0.0,0.0,3057620.0,0.0,0.0,147925728.0,11087613.0,0
6420,51300.0,0.0,2231979.0,0.0,0.0,455251.0,104279.0,0
6420,158833.0,-116214.0,3033438.0,0.0,7618.0,3296207.0,1532913.0,0
6209,161539.0,-67836.0,2749431.0,1234753.0,60715.0,3332024.0,377962.0,0
8544,794680.0,-176034.0,2952515.0,1676635.0,847460.0,4000308.0,475594.0,0
2014,112872.0,-37678.0,2337706.0,5888.0,18626.0,1305497.0,793896.0,0
4621,56243.0,-16524.0,2838907.0,1394.0,3679.0,1973681.0,465258.0,0
2442,66064.0,-15149.0,1902135.0,1392.0,193.0,1090667.0,451233.0,0
3514,-6959.0,-1832.0,2733777.0,0.0,650.0,516267.0,-204760.0,0
7112,141165.0,-13187.0,2978816.0,159094.0,173654.0,3406866.0,384318.0,0
6420,1661518.0,-61755.0,2700956.0,1493325.0,734843.0,48311962.0,33181293.0,0
4621,41098.0,-9742.0,2256247.0,658.0,1734.0,630188.0,376300.0,0
2910,33568.0,-115274.0,2802151.0,114115.0,58976.0,1741146.0,851768.0,0
6920,351689.0,-107726.0,2676777.0,1344637.0,164157.0,4047590.0,1188150.0,0
2910,40511.0,-84657.0,2492605.0,226650.0,18319.0,1578084.0,76544.0,0
6511,0.0,0.0,4388477.0,0.0,0.0,9396948.0,476724.0,0
2211,335829.0,-116052.0,2516945.0,104426.0,218794.0,1633642.0,268352.0,0
6420,146008.0,-148363.0,2514108.0,50707.0,84585.0,2499169.0,1168108.0,0
6420,204869.495,-129062.41100000001,1987508.307,851865.503,252338.216,2906944.4820000003,1103468.2410000002,0
4511,26540.0,-490.0,2281644.0,21907.0,0.0,683212.0,44915.0,0
2910,103920.0,-49880.0,2929944.0,22291.0,17526.0,975959.0,700122.0,0
9411,186194.0,-222820.0,2539359.0,2420742.0,88868.0,4212292.0,143542.0,0
6420,264608.0,-76833.0,2493816.0,500239.0,241960.0,3645478.0,2106401.0,0
4634,233942.0,-130.0,2781851.0,0.0,5126.0,3064331.0,2027265.0,0
3513,1126876.0,-625329.0,2312797.0,474101.0,166528.0,13761236.0,6496878.0,0
6420,110660.55064999999,-33097.617179999994,2240686.7526700003,524788.00841,370103.23445,1547348.7084700002,187900.91838,1
4222,166728.0,-77584.0,2167360.0,1228732.0,271059.0,3920276.0,987618.0,0
8211,81612.0,-65399.0,2079738.0,341400.0,56152.0,1975291.0,1340230.0,0
4711,51501.052,-72490.62000000001,2201898.196,96050.496,105660.67199999999,959190.405,490905.622,0
7911,38323.903000000006,-12352.262999999999,2233168.687,9.021999999999998,578.898,371217.48099999997,171033.11,0
6622,0.0,0.0,2321007.0,0.0,0.0,10728231.0,1000053.0,0
4646,-319.89724,-91.33386,1080445.200689,0.0,0.0,126490.77285,3150.3584,0
6420,-61855.0,-139159.0,2260751.0,880400.0,153530.0,2214760.0,706512.0,0
6499,-104544.0,-67775.0,2160672.0,42256535.0,4021772.0,44092073.0,-2657271.0,0
3519,1026059.0,-543911.0,2147758.0,447008.0,74685.0,12811511.0,5646629.0,0
4611,56139.0,-726.0,1481467.0,0.0,12219.0,489618.0,423125.0,0
5110,48399.0,-24144.0,2045348.0,142732.0,31295.0,1562000.0,318864.0,0
6419,0.0,0.0,1808899.0,0.0,0.0,67182467.0,4097376.0,0
6420,426000.0,-170000.0,2055000.0,1400000.0,837000.0,5314000.0,2344000.0,0
6420,389884.0,-61893.0,1749317.0,634720.0,87315.0,1935488.0,185473.0,0
1013,93225.0,-47663.0,1946990.0,506595.0,6863.0,2471678.0,836329.0,0
6420,93172.0,0.0,1946990.0,506595.0,6863.0,2471712.0,836156.0,0
8812,16069.0,-19232.0,1931980.0,66963.0,42009.0,993520.0,646349.0,0
6420,181732.0,-189395.0,1891120.0,994930.0,54726.0,1838776.0,174285.0,0
6420,1003288.0,-504200.0,1953607.0,5034400.0,1066909.0,10550350.0,3468490.0,0
4511,21187.0,-1505.0,1789090.0,100.0,0.0,691144.0,304050.0,0
1086,136474.0,-54926.0,1973859.0,202336.0,65565.0,1936494.0,451655.0,0
4711,81281.0,-37904.0,1950860.0,1101464.0,35919.0,2542941.0,751381.0,0
5110,99155.0,-11876.0,1802865.0,9749.0,44252.0,659365.0,60691.0,0
3516,-366637.0,-720022.0,1844398.0,453.0,62197.0,7968219.0,1833094.0,0
8110,93961.0,-87329.0,1793057.0,83728.0,9972.0,2121557.0,700918.0,0
2042,220642.0,-2955.0,1789760.0,5942.0,57956.0,1649703.0,980713.0,0
6420,563959.0,-602287.0,1705788.0,1830926.0,356216.0,16734469.0,7573014.0,0
5320,-54368.0,-90365.0,1945148.0,8421.0,19914.0,2260161.0,1772491.0,0
4771,153984.263,-55592.445,1723322.779,2338.6949999999997,5520.224999999999,621320.921,209157.133,0
6209,86276.0,-84266.0,1875745.0,1183548.0,89800.0,3279672.0,535524.0,0
5510,175746.0,-104277.0,1801962.0,632483.0,385609.0,3323470.0,1592216.0,0
6622,0.0,0.0,1918717.0,0.0,0.0,19300747.0,1226092.0,0
3512,940414.0,-483174.0,1825971.0,1376091.0,621358.0,9661435.0,1883418.0,0
6420,1619355.0,-21696.0,1903344.0,1309.0,2294.0,11462514.0,11308220.0,0
4778,95189.0,-25251.0,1703819.0,2035.0,7148.0,993950.0,420886.0,0
4643,34018.0,-159.0,1723946.0,0.0,0.0,630689.0,288379.0,0
2059,23470.0,-11745.0,1939633.0,348.0,492.0,1002566.0,191926.0,0
7010,101915.0,-111480.0,1718040.0,295538.0,192621.0,2294306.0,1357067.0,0
2444,73943.0,-25136.0,1658722.0,3389.0,671.0,600938.0,-45754.0,0
7022,194526.0,-2955.0,1790219.0,5942.0,60946.0,1825565.0,617402.0,0
6420,1495000.0,-30000.0,1838000.0,478000.0,292000.0,15379000.0,7961000.0,0
4635,47961.0,-16618.0,1814435.0,1246.0,30629.0,4539800.0,221280.0,0
4211,-44930.0,-49766.0,1782247.0,346934.0,96383.0,3234329.0,760365.0,0
4771,-57118.0,-40274.0,1770672.0,864921.0,157190.0,2902482.0,604075.0,0
3811,214386.0,-72623.0,1349348.0,3139649.0,290610.0,5242547.0,618523.0,0
3030,40779.0,-94180.0,1532121.0,727933.0,6687.0,1884625.0,234777.0,0
3514,227139.0,-114625.0,1603560.0,1351715.0,28286.0,3062024.0,149462.0,0
2059,12314.0,-5911.0,1859466.0,0.0,181.0,913159.0,36422.0,0
7911,-1006.0,-6.0,1591657.0,10884.0,726.0,347671.0,7790.0,0
6612,-1670.0,-3.0,1422958.0,0.0,3316.0,130536.0,4254.0,0
4764,160623.542,-25385.125,1656894.5150000001,49086.695,2878.071,664394.632,268254.007,0
3030,7044.0,0.0,1416547.0,0.0,0.0,2751092.0,2206.0,0
5320,-55770.0,-85825.0,1774958.0,8058.0,19269.0,2205303.0,1766350.0,0
6511,0.0,0.0,1339021.0,0.0,0.0,6108944.0,1451529.0,0
0150,60109.40436,-36903.57021,1555839.87608,2623.70431,10323.27604,706510.09771,493884.28786,0
0150,59047.09126,-36895.659519999994,1548858.4350200002,2623.70431,10323.27604,709016.77861,492872.18423,0
6419,0.0,0.0,2475470.0,0.0,0.0,137834246.0,10483881.0,0
6420,148484.309,-54462.443,1557860.144,89491.027,258257.329,1807622.4100000001,1206297.8590000002,0
3516,66803.0,-137221.0,1845492.0,7476.0,21171.0,4516227.0,3286357.0,0
6420,102925.882,-47252.670999999995,1509705.29,241823.201,199650.99599999998,1344854.37,545896.0869999999,0
5916,113679.0,-42197.0,1512527.0,240019.0,51375.0,1378740.0,312485.0,0
2751,95500.0,-33221.0,1593080.0,15049.0,13128.0,537303.0,185670.0,0
4621,6434.0,-21261.0,1703142.0,1674.0,43643.0,829742.0,206310.0,0
9200,98221.0,-102364.0,1497420.0,870824.0,248560.0,1479450.0,73681.0,0
6420,-2141938.0,-1900720.0,1576544.0,285127.0,9401063.0,9913954.0,-6779968.0,0
6512,0.0,0.0,1618180.0,0.0,0.0,3304863.0,746841.0,0
4121,-95302.0,-42152.0,922845.0,1354.0,7888.0,2241399.0,306029.0,0
4671,18814.435989999998,-319.92118999999997,1422527.42787,0.0,118117.65705,320495.40184,54998.368220000004,0
6420,189924.395,-99619.39,1610644.2940000002,341409.637,283724.506,2348840.719,1352631.091,0
2120,81111.459,-36619.621,1615631.334,512.558,5939.866,1065025.4030000002,306135.247,0
4511,7917.41191,-48633.49768,1596075.74197,0.0,1235.44508,563557.13253,20200.35676,1
6420,252848.0,-127173.0,1776209.0,897756.0,344201.0,4273123.0,2658952.0,0
7010,77329.0,-94362.0,1586496.0,788391.0,27086.0,1996108.0,657594.0,0
6209,-31267.0,-84602.0,1497965.0,619.0,32349.0,1498045.0,-54488.0,0
4639,110023.94841,-41406.80753,1571420.83831,5692.5535199999995,4580.21649,937702.4527499999,723098.86025,0
8211,24338.0,-14197.0,1522483.0,45564.0,49434.0,523964.0,223203.0,0
5510,106503.0,-114170.0,1455590.0,871829.0,85476.0,2627237.0,1155876.0,0
6020,-31367.0,-8127.0,1389540.0,53864.0,1740.0,933143.0,168929.0,0
6920,34543.0,-41245.0,1626307.0,360567.0,469327.0,2167409.0,549611.0,0
3514,-3040.0,0.0,1488011.0,49.0,0.0,240685.0,2926.0,0
6511,0.0,0.0,1213985.0,0.0,0.0,21925729.0,1096098.0,0
6420,63703.0,-44033.0,1336559.0,332638.0,159204.0,1766522.0,404242.0,0
6832,86575.89499999999,-13470.919,1174482.2680000002,4111.756,121058.03,677281.794,374290.293,0
6419,0.0,0.0,1413516.0,0.0,0.0,67439587.0,3831409.0,0
2410,39889.0,-27429.0,1269721.0,3583.0,53448.0,875310.0,304423.0,0
3020,111840.0,-34669.0,1333992.0,709573.0,242602.0,3233437.0,783677.0,0
4651,10210.0,-890.0,1205515.0,0.0,0.0,418422.0,61655.0,0
2013,128092.0,-35468.0,1558619.0,2598.0,996.0,989195.0,538416.0,1
4751,33833.043000000005,-28434.533,1370973.0340000002,1074.4379999999999,5212.715,556097.72,94966.21399999999,0
4671,-78706.0,-65431.0,1136318.0,657035.0,73428.0,1887123.0,860728.0,0
8121,52295.0,-13811.0,1420429.0,9340.0,93825.0,474313.0,171413.0,0
6511,0.0,0.0,1554432.0,0.0,0.0,15290999.0,1372415.0,0
8610,130981.0,-116116.0,1453648.0,50780.0,37613.0,3237661.0,2285507.0,0
3523,587.0,0.0,1380629.0,0.0,523.0,407936.0,267038.0,0
4211,-33435.0,-11685.0,1516468.0,1352.0,67800.0,2646923.0,510431.0,0
